image_id,image_path,image_filename,split,method,city_name,predicted_class_index,predicted_class_label,predicted_probability,gdino_model_id,sam_model_id,grounding_text_prompt,gdino_box_threshold,gdino_text_threshold,gdino_num_boxes,sam_num_masks,used_full_image_fallback,combined_mask_area,attribution_percentile,threshold_value,attribution_density,attribution_map_height,attribution_map_width,mask_height,mask_width,attribution_mass_inside,attribution_mass_outside,combined_iou,inside_ratio,coverage_ratio,attribution_area,intersection_area,union_area,sam_mask_area,runtime_seconds,status
AmorphousAsphalt__Los_Angeles_California_height34.1_numstoriesNA_roofshapeNA_fpArea7037_imsat_33.99753555-118.43925121_2.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Los_Angeles_California_height34.1_numstoriesNA_roofshapeNA_fpArea7037_imsat_33.99753555-118.43925121_2.jpg,Los_Angeles_California_height34.1_numstoriesNA_roofshapeNA_fpArea7037_imsat_33.99753555-118.43925121_2.jpg,holdout,transformer_explainability,Los Angeles California Height34.1 Numstoriesna Roofshapena Fparea7037 Imsat 33.99753555,9,AmorphousConcrete,0.9592410326004028,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,8,8,False,284056,80.0,0.06324180215597153,0.2,224,224,622,615,0.6120978731427607,0.3879021268572394,0.12905316753770954,0.5386897759652838,0.14508758836285804,76506,41213,319349,284056,0.695,success
AmorphousAsphalt__Minsk_Belarus_heightNA_numstories1_roofshapeNA_fpArea12443_imsat_53.8563908927.55988223_5.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Minsk_Belarus_heightNA_numstories1_roofshapeNA_fpArea12443_imsat_53.8563908927.55988223_5.jpg,Minsk_Belarus_heightNA_numstories1_roofshapeNA_fpArea12443_imsat_53.8563908927.55988223_5.jpg,holdout,transformer_explainability,Minsk Belarus,6,MetalSheetMaterials,0.9755207300186157,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,5,5,False,196379,80.0,0.05497887358069421,0.20000211810556637,224,224,444,638,0.5042128480996397,0.4957871519003603,0.1264178493206788,0.5012443738416733,0.14460813019722069,56655,28398,224636,196379,0.714,success
AmorphousAsphalt__Minsk_Belarus_heightNA_numstories2_roofshapeNA_fpArea33000_imsat_53.9062932327.51374917.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Minsk_Belarus_heightNA_numstories2_roofshapeNA_fpArea33000_imsat_53.9062932327.51374917.jpg,Minsk_Belarus_heightNA_numstories2_roofshapeNA_fpArea33000_imsat_53.9062932327.51374917.jpg,holdout,transformer_explainability,Minsk Belarus,10,AmorphousAsphalt,0.9998918771743774,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,4,4,False,235049,80.0,0.06376277655363083,0.20000277415596304,224,224,452,638,0.6004209054749752,0.39957909452502477,0.14398433653011936,0.6387925653651432,0.15674604018736518,57676,36843,255882,235049,0.722,success
AmorphousAsphalt__Budapest_Hungary_heightNA_numstoriesNA_roofshapeNA_fpArea242_imsat_47.4437795219.02945875.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Budapest_Hungary_heightNA_numstoriesNA_roofshapeNA_fpArea242_imsat_47.4437795219.02945875.jpg,Budapest_Hungary_heightNA_numstoriesNA_roofshapeNA_fpArea242_imsat_47.4437795219.02945875.jpg,holdout,transformer_explainability,Budapest Hungary,10,AmorphousAsphalt,0.957248866558075,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,1,1,False,364474,80.0,0.041430465131998065,0.20000049134737277,224,224,638,638,0.9182041743298478,0.08179582567015221,0.2017016895615872,0.91930867594492,0.20533700620620401,81409,74840,371043,364474,0.678,success
AmorphousAsphalt__Muscat_Oman_heightNA_numstoriesNA_roofshapeNA_fpArea142_imsat_23.6399240858.22000217.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Muscat_Oman_heightNA_numstoriesNA_roofshapeNA_fpArea142_imsat_23.6399240858.22000217.jpg,Muscat_Oman_heightNA_numstoriesNA_roofshapeNA_fpArea142_imsat_23.6399240858.22000217.jpg,holdout,transformer_explainability,Muscat Oman,6,MetalSheetMaterials,0.9470957517623901,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,2,2,False,341331,80.0,0.06183988079428677,0.20000049917137552,224,224,638,628,0.9204950873509834,0.07950491264901657,0.21270296166495464,0.9225038373703718,0.2165727695404168,80133,73923,347541,341331,0.692,success
AmorphousAsphalt__Minsk_Belarus_heightNA_numstoriesNA_roofshapeflat_fpArea6822_imsat_53.850852127.4652055.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Minsk_Belarus_heightNA_numstoriesNA_roofshapeflat_fpArea6822_imsat_53.850852127.4652055.jpg,Minsk_Belarus_heightNA_numstoriesNA_roofshapeflat_fpArea6822_imsat_53.850852127.4652055.jpg,holdout,transformer_explainability,Minsk Belarus,10,AmorphousAsphalt,0.9829126596450806,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,2,2,False,160416,80.0,0.07094288170337679,0.20000092745450834,224,224,638,338,0.7469269914118776,0.2530730085881224,0.19776035966058209,0.7792204781005819,0.20949905246359465,43129,33607,169938,160416,0.72,success
AmorphousAsphalt__Warsaw_Poland_heightNA_numstories4_roofshapeNA_fpArea18809_imsat_52.2096811320.89209873_0.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Warsaw_Poland_heightNA_numstories4_roofshapeNA_fpArea18809_imsat_52.2096811320.89209873_0.jpg,Warsaw_Poland_heightNA_numstories4_roofshapeNA_fpArea18809_imsat_52.2096811320.89209873_0.jpg,holdout,transformer_explainability,Warsaw Poland,10,AmorphousAsphalt,0.9997575879096985,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,8,8,False,214388,80.0,0.1021052658557892,0.2000018659501418,224,224,504,638,0.5512610409965476,0.44873895900345245,0.14115672023748593,0.5360513753479187,0.16080191055469523,64311,34474,244225,214388,0.704,success
AmorphousAsphalt__Valletta_Malta_heightNA_numstoriesNA_roofshapeNA_fpArea52526_imsat_35.9003797314.51696956_10.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Valletta_Malta_heightNA_numstoriesNA_roofshapeNA_fpArea52526_imsat_35.9003797314.51696956_10.jpg,Valletta_Malta_heightNA_numstoriesNA_roofshapeNA_fpArea52526_imsat_35.9003797314.51696956_10.jpg,holdout,transformer_explainability,Valletta Malta,9,AmorphousConcrete,0.9619348049163818,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,3,3,False,391487,80.0,0.06821546405553824,0.20000049134737277,224,224,638,638,0.9259757377432445,0.07402426225675551,0.1884377026191589,0.9210529548330038,0.19153126412882165,81409,74982,397914,391487,0.683,success
AmorphousAsphalt__Valletta_Malta_heightNA_numstoriesNA_roofshapeNA_fpArea23513_imsat_35.9017214414.51347047_0.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Valletta_Malta_heightNA_numstoriesNA_roofshapeNA_fpArea23513_imsat_35.9017214414.51347047_0.jpg,Valletta_Malta_heightNA_numstoriesNA_roofshapeNA_fpArea23513_imsat_35.9017214414.51347047_0.jpg,holdout,transformer_explainability,Valletta Malta,9,AmorphousConcrete,0.9975739121437073,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,4,4,False,331951,80.0,0.13141435384750366,0.20000201594613393,224,224,622,638,0.7522469392594053,0.2477530607405947,0.1536276027643152,0.6901396028626147,0.16500929354031169,79368,54775,356544,331951,0.721,success
AmorphousAsphalt__Kyiv_Ukraine_heightNA_numstoriesNA_roofshapeflat_fpArea15158_imsat_50.5056543230.60651986_1.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Kyiv_Ukraine_heightNA_numstoriesNA_roofshapeflat_fpArea15158_imsat_50.5056543230.60651986_1.jpg,Kyiv_Ukraine_heightNA_numstoriesNA_roofshapeflat_fpArea15158_imsat_50.5056543230.60651986_1.jpg,holdout,transformer_explainability,Kyiv Ukraine,10,AmorphousAsphalt,0.9999194145202637,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,6,6,False,81052,80.0,0.08769690990447998,0.20000386518243662,224,224,616,336,0.36889712633825794,0.631102873661742,0.12102097428338628,0.3193303700840661,0.16309282929477373,41396,13219,109229,81052,0.72,success
AmorphousAsphalt__Dublin_Ireland_heightNA_numstoriesNA_roofshapeNA_fpArea19659_imsat_53.3393693-6.23513877.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Dublin_Ireland_heightNA_numstoriesNA_roofshapeNA_fpArea19659_imsat_53.3393693-6.23513877.jpg,Dublin_Ireland_heightNA_numstoriesNA_roofshapeNA_fpArea19659_imsat_53.3393693-6.23513877.jpg,holdout,transformer_explainability,Dublin Ireland Heightna Numstoriesna Roofshapena Fparea19659 Imsat 53.3393693,10,AmorphousAsphalt,0.9906772375106812,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,23,23,False,133289,80.0,0.07725774049758911,0.20000125335664576,224,224,509,627,0.332405934835972,0.667594065164028,0.09744731787434234,0.2742170486769337,0.1313161626240725,63829,17503,179615,133289,0.73,success
AmorphousAsphalt__Kyiv_Ukraine_heightNA_numstoriesNA_roofshapeNA_fpArea22044_imsat_50.4478776330.49382326_3.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Kyiv_Ukraine_heightNA_numstoriesNA_roofshapeNA_fpArea22044_imsat_50.4478776330.49382326_3.jpg,Kyiv_Ukraine_heightNA_numstoriesNA_roofshapeNA_fpArea22044_imsat_50.4478776330.49382326_3.jpg,holdout,transformer_explainability,Kyiv Ukraine,10,AmorphousAsphalt,0.9994480013847351,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,10,10,False,220586,80.0,0.09158590137958526,0.20000059371140877,224,224,638,528,0.7394679111783166,0.26053208882168344,0.21726136378047287,0.7628575245276298,0.23299756104195188,67373,51396,236563,220586,0.714,success
AmorphousAsphalt__Kuala_Lumpur_Malaysia_heightNA_numstoriesNA_roofshapeNA_fpArea8533_imsat_3.17004971101.63958358_0.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Kuala_Lumpur_Malaysia_heightNA_numstoriesNA_roofshapeNA_fpArea8533_imsat_3.17004971101.63958358_0.jpg,Kuala_Lumpur_Malaysia_heightNA_numstoriesNA_roofshapeNA_fpArea8533_imsat_3.17004971101.63958358_0.jpg,holdout,transformer_explainability,Kuala Lumpur Malaysia,6,MetalSheetMaterials,0.998015284538269,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,3,3,False,148923,80.0,0.09225889891386035,0.20000097052515117,224,224,638,323,0.7336187433656295,0.2663812566343705,0.20697250734766684,0.7910954749484411,0.2189386461459949,41215,32605,157533,148923,0.707,success
AmorphousAsphalt__Helsinki_Finland_heightNA_numstoriesNA_roofshapeNA_fpArea8277_imsat_60.2376989224.99164489_1.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Helsinki_Finland_heightNA_numstoriesNA_roofshapeNA_fpArea8277_imsat_60.2376989224.99164489_1.jpg,Helsinki_Finland_heightNA_numstoriesNA_roofshapeNA_fpArea8277_imsat_60.2376989224.99164489_1.jpg,holdout,transformer_explainability,Helsinki Finland,10,AmorphousAsphalt,0.9996644258499146,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,19,19,False,91726,80.0,0.04027610942721367,0.2,224,224,625,473,0.2540412152498653,0.7459587847501347,0.14789788075942625,0.3287272727272727,0.2118919390358241,59125,19436,131415,91726,0.724,success
AmorphousAsphalt__Dubai_United_Arab_Emirates_heightNA_numstoriesNA_roofshapeNA_fpArea1722_imsat_25.1039740555.22294176_1.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Dubai_United_Arab_Emirates_heightNA_numstoriesNA_roofshapeNA_fpArea1722_imsat_25.1039740555.22294176_1.jpg,Dubai_United_Arab_Emirates_heightNA_numstoriesNA_roofshapeNA_fpArea1722_imsat_25.1039740555.22294176_1.jpg,holdout,transformer_explainability,Dubai United Arab Emirates,6,MetalSheetMaterials,0.9999728202819824,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,2,2,False,360600,80.0,0.03660455644130708,0.20000049134737277,224,224,638,638,0.8873192405102741,0.11268075948972583,0.2024739990695979,0.9142232431303664,0.2063948973932335,81409,74426,367583,360600,0.682,success
AmorphousAsphalt__Chicago_Illinois_heightNA_numstories1_roofshapeNA_fpArea1364_imsat_41.80880971-87.70549451.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Chicago_Illinois_heightNA_numstories1_roofshapeNA_fpArea1364_imsat_41.80880971-87.70549451.jpg,Chicago_Illinois_heightNA_numstories1_roofshapeNA_fpArea1364_imsat_41.80880971-87.70549451.jpg,holdout,transformer_explainability,Chicago Illinois Heightna Numstories1 Roofshapena Fparea1364 Imsat 41.80880971,10,AmorphousAsphalt,0.9934219717979431,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,4,4,False,141808,80.0,0.05498448759317398,0.20000366642834883,224,224,342,638,0.5194885590947385,0.48051144090526154,0.1657237685750924,0.6041246562786434,0.18591334762495768,43640,26364,159084,141808,0.717,success
AmorphousAsphalt__Kyiv_Ukraine_heightNA_numstories5_roofshapeNA_fpArea2861_imsat_50.5174805530.4916414.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Kyiv_Ukraine_heightNA_numstories5_roofshapeNA_fpArea2861_imsat_50.5174805530.4916414.jpg,Kyiv_Ukraine_heightNA_numstories5_roofshapeNA_fpArea2861_imsat_50.5174805530.4916414.jpg,holdout,transformer_explainability,Kyiv Ukraine,10,AmorphousAsphalt,0.694714367389679,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,2,2,False,214999,80.0,0.06968091130256655,0.20000074108658114,224,224,638,423,0.836343584813011,0.16365641518698906,0.19843342036553524,0.8251227420101899,0.20714514951232332,53975,44536,224438,214999,0.724,success
AmorphousAsphalt__Riga_Latvia_heightNA_numstoriesNA_roofshapeNA_fpArea11256_imsat_56.9359521924.06968576.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Riga_Latvia_heightNA_numstoriesNA_roofshapeNA_fpArea11256_imsat_56.9359521924.06968576.jpg,Riga_Latvia_heightNA_numstoriesNA_roofshapeNA_fpArea11256_imsat_56.9359521924.06968576.jpg,holdout,transformer_explainability,Riga Latvia,10,AmorphousAsphalt,0.9987315535545349,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,3,3,False,270544,80.0,0.02725464291870594,0.20000244905956113,224,224,638,512,0.7759925901743921,0.22400740982560788,0.17792951557299722,0.776571970856548,0.18752957005145188,65332,50735,285141,270544,0.711,success
AmorphousAsphalt__Tallinn_Estonia_height52.5_numstoriesNA_roofshapeflat_fpArea7133_imsat_59.4079167524.7061855.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Tallinn_Estonia_height52.5_numstoriesNA_roofshapeflat_fpArea7133_imsat_59.4079167524.7061855.jpg,Tallinn_Estonia_height52.5_numstoriesNA_roofshapeflat_fpArea7133_imsat_59.4079167524.7061855.jpg,holdout,transformer_explainability,Tallinn Estonia,6,MetalSheetMaterials,0.6803466081619263,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,4,4,False,198760,80.0,0.07343768030405044,0.20000102611988158,224,224,638,611,0.4407501907162013,0.5592498092837986,0.19674782683907796,0.5835257298240213,0.2288891124974844,77964,45494,231230,198760,0.696,success
AmorphousAsphalt__Toronto_Canada_heightNA_numstoriesNA_roofshapeNA_fpArea21000_imsat_43.75951446-79.4888111.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Toronto_Canada_heightNA_numstoriesNA_roofshapeNA_fpArea21000_imsat_43.75951446-79.4888111.jpg,Toronto_Canada_heightNA_numstoriesNA_roofshapeNA_fpArea21000_imsat_43.75951446-79.4888111.jpg,holdout,transformer_explainability,Toronto Canada Heightna Numstoriesna Roofshapena Fparea21000 Imsat 43.75951446,10,AmorphousAsphalt,0.9320749044418335,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,3,3,False,179342,80.0,0.04125269949436188,0.2000006064575601,224,224,604,546,0.47585129427787215,0.5241487057221278,0.12426038214925729,0.41105568779659474,0.15117485028604566,65957,27112,218187,179342,0.731,success
AmorphousAsphalt__Chicago_Illinois_heightNA_numstories2_roofshapeNA_fpArea1487_imsat_41.84337095-87.63327926.jpg,/scratch/yd3288/RoofNet-xAI/RoofNet-Images/AmorphousAsphalt/Chicago_Illinois_heightNA_numstories2_roofshapeNA_fpArea1487_imsat_41.84337095-87.63327926.jpg,Chicago_Illinois_heightNA_numstories2_roofshapeNA_fpArea1487_imsat_41.84337095-87.63327926.jpg,holdout,transformer_explainability,Chicago Illinois Heightna Numstories2 Roofshapena Fparea1487 Imsat 41.84337095,11,AmorphousMembrane,0.9998396635055542,IDEA-Research/grounding-dino-base,facebook/sam-vit-huge,building . rooftop . roof,0.2,0.15,4,4,False,153151,80.0,0.07212357223033905,0.2000192910537738,224,224,325,638,0.6503950490457425,0.3496049509542575,0.17551308843603156,0.7006558325698028,0.1897408440036304,41474,29059,165566,153151,0.712,success
